# Score: min -3000, max 4446, med -1029
# Num steps: min 1000, max 1000, med 1000
seed,score,num_steps
6451,212,1000
6452,-2708,1000
6453,-956,1000
6454,431,1000
6455,-1321,1000
6456,-2781,1000
6457,-2197,1000
6458,1234,1000
6459,-372,1000
6460,-2124,1000
6461,-883,1000
6462,-2708,1000
6463,-2270,1000
6464,-372,1000
6465,-1905,1000
6466,-664,1000
6467,2183,1000
6468,-2489,1000
6469,577,1000
6470,66,1000
6471,431,1000
6472,-1467,1000
6473,-1978,1000
6474,-2416,1000
6475,431,1000
6476,-1686,1000
6477,2475,1000
6478,2402,1000
6479,-1613,1000
6480,-1978,1000
6481,-956,1000
6482,-2781,1000
6483,-883,1000
6484,-1832,1000
6485,-1540,1000
6486,-664,1000
6487,-372,1000
6488,-153,1000
6489,-1905,1000
6490,-2562,1000
6491,-2854,1000
6492,-372,1000
6493,1234,1000
6494,-2781,1000
6495,-591,1000
6496,2840,1000
6497,-299,1000
6498,1234,1000
6499,-1905,1000
6500,-883,1000
6501,577,1000
6502,-518,1000
6503,431,1000
6504,1453,1000
6505,-737,1000
6506,-1248,1000
6507,431,1000
6508,-2270,1000
6509,-2197,1000
6510,-2124,1000
6511,-591,1000
6512,504,1000
6513,-518,1000
6514,-1540,1000
6515,-1248,1000
6516,139,1000
6517,-1686,1000
6518,1380,1000
6519,-2124,1000
6520,-1978,1000
6521,-1394,1000
6522,-1467,1000
6523,-2416,1000
6524,723,1000
6525,-883,1000
6526,-2635,1000
6527,-372,1000
6528,-591,1000
6529,-664,1000
6530,869,1000
6531,-2270,1000
6532,-1613,1000
6533,2402,1000
6534,285,1000
6535,1891,1000
6536,-2854,1000
6537,1599,1000
6538,577,1000
6539,-2489,1000
6540,66,1000
6541,-2781,1000
6542,-1540,1000
6543,-1321,1000
6544,-445,1000
6545,-2343,1000
6546,-2489,1000
6547,-883,1000
6548,-737,1000
6549,-810,1000
6550,-2197,1000
6551,-1686,1000
6552,796,1000
6553,-2124,1000
6554,-1613,1000
6555,-737,1000
6556,66,1000
6557,-1978,1000
6558,-883,1000
6559,-372,1000
6560,66,1000
6561,-1175,1000
6562,-1978,1000
6563,-1613,1000
6564,-1467,1000
6565,-1467,1000
6566,-2270,1000
6567,-1613,1000
6568,-445,1000
6569,2037,1000
6570,796,1000
6571,-883,1000
6572,-664,1000
6573,-810,1000
6574,-1978,1000
6575,-1248,1000
6576,1891,1000
6577,-2270,1000
6578,2548,1000
6579,1526,1000
6580,-2270,1000
6581,-956,1000
6582,2840,1000
6583,-2051,1000
6584,66,1000
6585,504,1000
6586,-956,1000
6587,3132,1000
6588,-737,1000
6589,-445,1000
6590,1380,1000
6591,-1832,1000
6592,504,1000
6593,-664,1000
6594,2037,1000
6595,-1832,1000
6596,-1978,1000
6597,-664,1000
6598,577,1000
6599,-1832,1000
6600,1015,1000
6601,-7,1000
6602,942,1000
6603,-1394,1000
6604,-591,1000
6605,-2635,1000
6606,-2489,1000
6607,-1759,1000
6608,431,1000
6609,-2635,1000
6610,431,1000
6611,-737,1000
6612,-2197,1000
6613,-1613,1000
6614,-1613,1000
6615,-1978,1000
6616,-2416,1000
6617,-299,1000
6618,504,1000
6619,-2197,1000
6620,-2197,1000
6621,-299,1000
6622,-1540,1000
6623,212,1000
6624,66,1000
6625,-2197,1000
6626,-1613,1000
6627,-1175,1000
6628,-2343,1000
6629,-2197,1000
6630,-1905,1000
6631,1453,1000
6632,-2708,1000
6633,796,1000
6634,-1394,1000
6635,-591,1000
6636,-1759,1000
6637,-2124,1000
6638,-1467,1000
6639,-883,1000
6640,-7,1000
6641,-1321,1000
6642,-1029,1000
6643,-1102,1000
6644,-1321,1000
6645,-445,1000
6646,-1321,1000
6647,942,1000
6648,-1613,1000
6649,-2854,1000
6650,577,1000
6651,-664,1000
6652,-2197,1000
6653,1015,1000
6654,-2416,1000
6655,-1540,1000
6656,-737,1000
6657,-153,1000
6658,-883,1000
6659,-372,1000
6660,-2562,1000
6661,-372,1000
6662,-956,1000
6663,-1832,1000
6664,-1029,1000
6665,-1978,1000
6666,-2927,1000
6667,-2270,1000
6668,-2197,1000
6669,-883,1000
6670,-1321,1000
6671,-2635,1000
6672,-153,1000
6673,1234,1000
6674,-2270,1000
6675,-2708,1000
6676,-810,1000
6677,-1029,1000
6678,-2635,1000
6679,942,1000
6680,-737,1000
6681,-2124,1000
6682,-2124,1000
6683,212,1000
6684,-1759,1000
6685,-299,1000
6686,-518,1000
6687,1964,1000
6688,-1248,1000
6689,1234,1000
6690,1526,1000
6691,-1467,1000
6692,1672,1000
6693,650,1000
6694,-2489,1000
6695,3424,1000
6696,-2124,1000
6697,-2416,1000
6698,-591,1000
6699,-299,1000
6700,-1978,1000
6701,-2416,1000
6702,-664,1000
6703,1453,1000
6704,-1102,1000
6705,-1832,1000
6706,-2051,1000
6707,-153,1000
6708,3716,1000
6709,358,1000
6710,2548,1000
6711,4446,1000
6712,577,1000
6713,-226,1000
6714,-737,1000
6715,-7,1000
6716,-1540,1000
6717,-2635,1000
6718,-664,1000
6719,-7,1000
6720,942,1000
6721,-1321,1000
6722,-2051,1000
6723,-1905,1000
6724,-518,1000
6725,-2562,1000
6726,-1102,1000
6727,-2197,1000
6728,-1978,1000
6729,-80,1000
6730,796,1000
6731,577,1000
6732,-1321,1000
6733,-153,1000
6734,-2051,1000
6735,-372,1000
6736,-1102,1000
6737,-1759,1000
6738,-1248,1000
6739,-2270,1000
6740,212,1000
6741,-2270,1000
6742,-2416,1000
6743,-591,1000
6744,-2635,1000
6745,-1175,1000
6746,-883,1000
6747,-664,1000
6748,-1540,1000
6749,1088,1000
6750,-2051,1000
6751,-1175,1000
6752,1672,1000
6753,-1029,1000
6754,-2051,1000
6755,285,1000
6756,2621,1000
6757,-1978,1000
6758,-372,1000
6759,-883,1000
6760,-153,1000
6761,-518,1000
6762,285,1000
6763,-226,1000
6764,-299,1000
6765,-1540,1000
6766,-1832,1000
6767,-2051,1000
6768,-2416,1000
6769,-1321,1000
6770,-1759,1000
6771,139,1000
6772,1380,1000
6773,1453,1000
6774,-1102,1000
6775,-7,1000
6776,-2051,1000
6777,-2562,1000
6778,-1759,1000
6779,-1394,1000
6780,-1832,1000
6781,-1540,1000
6782,-2124,1000
6783,-2489,1000
6784,285,1000
6785,-591,1000
6786,-737,1000
6787,1672,1000
6788,139,1000
6789,-1832,1000
6790,-299,1000
6791,-2197,1000
6792,-299,1000
6793,2986,1000
6794,-2051,1000
6795,-2854,1000
6796,-1613,1000
6797,-1248,1000
6798,-2562,1000
6799,-664,1000
6800,-1029,1000
6801,-80,1000
6802,-810,1000
6803,-1540,1000
6804,-1029,1000
6805,-2635,1000
6806,-1978,1000
6807,-737,1000
6808,-737,1000
6809,-2489,1000
6810,-1613,1000
6811,869,1000
6812,1161,1000
6813,-518,1000
6814,-810,1000
6815,-1321,1000
6816,-1175,1000
6817,-1248,1000
6818,-2635,1000
6819,1599,1000
6820,-1832,1000
6821,285,1000
6822,-1613,1000
6823,-1759,1000
6824,-1175,1000
6825,212,1000
6826,-883,1000
6827,-2562,1000
6828,1672,1000
6829,-664,1000
6830,-1540,1000
6831,285,1000
6832,1891,1000
6833,-2051,1000
6834,-2270,1000
6835,66,1000
6836,212,1000
6837,-2489,1000
6838,-2124,1000
6839,577,1000
6840,-299,1000
6841,-1832,1000
6842,66,1000
6843,-2124,1000
6844,-1686,1000
6845,-445,1000
6846,-2781,1000
6847,-664,1000
6848,-2708,1000
6849,942,1000
6850,-1978,1000
6851,-1832,1000
6852,577,1000
6853,-2416,1000
6854,1818,1000
6855,-956,1000
6856,-1248,1000
6857,-883,1000
6858,-1540,1000
6859,-956,1000
6860,-2270,1000
6861,-372,1000
6862,-2124,1000
6863,1453,1000
6864,-1175,1000
6865,1380,1000
6866,1234,1000
6867,-1321,1000
6868,723,1000
6869,577,1000
6870,-1321,1000
6871,-2051,1000
6872,-518,1000
6873,-226,1000
6874,-1832,1000
6875,796,1000
6876,-1102,1000
6877,1964,1000
6878,-7,1000
6879,-1832,1000
6880,-883,1000
6881,66,1000
6882,1599,1000
6883,-2270,1000
6884,869,1000
6885,-2562,1000
6886,723,1000
6887,-1759,1000
6888,-1686,1000
6889,-226,1000
6890,-372,1000
6891,577,1000
6892,-2197,1000
6893,-2635,1000
6894,-1978,1000
6895,-2270,1000
6896,-1613,1000
6897,1599,1000
6898,-1321,1000
6899,-1467,1000
6900,-1540,1000
6901,212,1000
6902,-1102,1000
6903,-956,1000
6904,-226,1000
6905,-2489,1000
6906,-2197,1000
6907,-1832,1000
6908,-7,1000
6909,650,1000
6910,-226,1000
6911,-1905,1000
6912,-1759,1000
6913,-2270,1000
6914,285,1000
6915,66,1000
6916,-1540,1000
6917,-2416,1000
6918,869,1000
6919,1891,1000
6920,-1905,1000
6921,-883,1000
6922,-1978,1000
6923,-1394,1000
6924,-2781,1000
6925,796,1000
6926,-810,1000
6927,1453,1000
6928,-1686,1000
6929,212,1000
6930,-1686,1000
6931,-445,1000
6932,-1248,1000
6933,431,1000
6934,-2051,1000
6935,-7,1000
6936,-1467,1000
6937,-591,1000
6938,-2124,1000
6939,139,1000
6940,-2635,1000
6941,1891,1000
6942,-2854,1000
6943,-1759,1000
6944,-2562,1000
6945,-664,1000
6946,942,1000
6947,-1832,1000
6948,-2343,1000
6949,431,1000
6950,212,1000
6951,-1248,1000
6952,-591,1000
6953,-1978,1000
6954,-1832,1000
6955,-810,1000
6956,-299,1000
6957,139,1000
6958,66,1000
6959,1526,1000
6960,-1905,1000
6961,-956,1000
6962,-2197,1000
6963,-2416,1000
6964,-2781,1000
6965,358,1000
6966,-2635,1000
6967,285,1000
6968,-2562,1000
6969,-1759,1000
6970,-1467,1000
6971,-2416,1000
6972,-1175,1000
6973,-810,1000
6974,-810,1000
6975,-1832,1000
6976,-1613,1000
6977,-1467,1000
6978,-2270,1000
6979,212,1000
6980,212,1000
6981,-2343,1000
6982,577,1000
6983,-2489,1000
6984,-1905,1000
6985,869,1000
6986,-1686,1000
6987,-2489,1000
6988,-1029,1000
6989,-2270,1000
6990,-2416,1000
6991,431,1000
6992,-2781,1000
6993,-1248,1000
6994,-1175,1000
6995,1818,1000
6996,-2854,1000
6997,-518,1000
6998,-2197,1000
6999,-2562,1000
7000,-1394,1000
7001,-2416,1000
7002,1818,1000
7003,-1905,1000
7004,-2124,1000
7005,-1759,1000
7006,-664,1000
7007,-2416,1000
7008,-2562,1000
7009,2621,1000
7010,-2489,1000
7011,66,1000
7012,1161,1000
7013,-1467,1000
7014,-1029,1000
7015,-2197,1000
7016,-737,1000
7017,-445,1000
7018,-664,1000
7019,-1613,1000
7020,-591,1000
7021,1088,1000
7022,-2416,1000
7023,-80,1000
7024,1234,1000
7025,-1540,1000
7026,-1686,1000
7027,358,1000
7028,-299,1000
7029,-2489,1000
7030,-80,1000
7031,-2124,1000
7032,-7,1000
7033,-1467,1000
7034,-737,1000
7035,-518,1000
7036,869,1000
7037,-2708,1000
7038,-1832,1000
7039,-1175,1000
7040,796,1000
7041,-153,1000
7042,-1540,1000
7043,-1613,1000
7044,-956,1000
7045,285,1000
7046,-445,1000
7047,1672,1000
7048,-956,1000
7049,-2635,1000
7050,1745,1000
7051,-1613,1000
7052,66,1000
7053,-1759,1000
7054,-2270,1000
7055,-1905,1000
7056,-226,1000
7057,-299,1000
7058,-518,1000
7059,2913,1000
7060,-153,1000
7061,-153,1000
7062,-2343,1000
7063,-1759,1000
7064,-299,1000
7065,-591,1000
7066,1672,1000
7067,-2197,1000
7068,-2489,1000
7069,-372,1000
7070,-1613,1000
7071,-226,1000
7072,-591,1000
7073,-883,1000
7074,-2270,1000
7075,650,1000
7076,-1832,1000
7077,-1394,1000
7078,-1905,1000
7079,650,1000
7080,-1686,1000
7081,-2197,1000
7082,-956,1000
7083,-1467,1000
7084,-2197,1000
7085,-2343,1000
7086,-2051,1000
7087,577,1000
7088,-2197,1000
7089,-2343,1000
7090,-591,1000
7091,-299,1000
